                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4783,                 2.9188,                 1.8107,                 1.4886,                0.59024,                0.26847,                0.29333,                0.12729,                0.53662,                0.22076,                0.23708,                0.09305,                 1.7926,                 3.0751,                 1.9107,                 1.7786,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4712,                 2.9133,                 1.7417,                 1.4723,                0.46997,                0.34822,                0.26602,                0.11538,                0.42646,                0.29293,                0.20873,                0.08286,                 1.8285,                 3.0849,                 1.9116,                 1.8025,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.5128,                 2.9728,                 1.7575,                 1.4831,                0.47454,                0.28674,                0.27489,                0.12306,                  0.432,                 0.2708,                0.23496,                 0.0848,                 1.7776,                 3.2387,                 1.9882,                 1.7483,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4653,                 2.9579,                 1.7068,                 1.4608,                0.50855,                0.31028,                0.28862,                0.12889,                 0.4787,                0.27214,                0.24884,                 0.0905,                 1.7934,                 3.0743,                  1.796,                 1.7736,              0.0007525,              0.0007525,              0.0007525
                     28,                  1.494,                 2.8939,                  1.732,                 1.4848,                0.48623,                0.28731,                0.32537,                0.13445,                0.47289,                0.27168,                0.28973,                0.10829,                 1.7749,                 3.0722,                 1.8284,                 1.7574,              0.0007426,              0.0007426,              0.0007426
                     29,                  1.462,                 2.8668,                 1.6952,                 1.4693,                 0.5152,                0.27862,                0.27134,                0.11905,                0.49788,                0.25211,                0.23263,                0.08856,                 1.7703,                 3.0415,                 1.8661,                 1.7572,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4297,                 2.7879,                 1.6857,                 1.4595,                0.32182,                0.45008,                0.38876,                0.14385,                0.30435,                0.40877,                0.35528,                0.12577,                 1.7366,                 3.1929,                  1.923,                 1.7397,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.4364,                 2.7617,                 1.6527,                 1.4364,                0.34582,                0.37407,                 0.2851,                0.11376,                0.34466,                 0.3625,                0.25105,                 0.0855,                 1.8505,                 3.3037,                 1.9735,                 1.8247,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4293,                 2.7918,                 1.6336,                  1.457,                0.52986,                0.31305,                0.29605,                0.13429,                0.47714,                0.30418,                0.25863,                0.09823,                 1.7238,                 3.1061,                 1.9023,                 1.7422,               0.000703,               0.000703,               0.000703
                     33,                   1.42,                  2.871,                 1.6007,                 1.4343,                0.51092,                0.29206,                0.25567,                0.12023,                0.48071,                0.25886,                0.21513,                0.08539,                 1.7192,                 3.1333,                 1.8536,                 1.7524,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.4127,                 2.7865,                  1.636,                 1.4354,                0.50319,                0.35397,                0.29598,                0.13245,                0.48673,                0.32503,                0.25283,                0.10074,                 1.7769,                 3.0789,                 1.9057,                 1.7743,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.4222,                 2.8326,                  1.596,                 1.4479,                0.50277,                0.34414,                0.30646,                0.14501,                0.49299,                 0.2933,                0.25591,                0.10462,                   1.74,                 3.0255,                 1.7868,                 1.7542,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3907,                 2.7574,                 1.5595,                 1.4273,                0.30929,                 0.4568,                0.27993,                0.12079,                0.27771,                 0.4179,                0.23691,                0.08948,                 1.8538,                 3.0616,                 1.8252,                 1.8427,              0.0006634,              0.0006634,              0.0006634
